text|date
Good thoughts and prayers to everyone dealing with #COVID19 .. All the more reason to #MaskUp #SocialDistancing #StayHome #WashHands https://t.co/4oErEqykOW|2021-01-10 22:47:26
"Cases: 90,143,875 (+0) 
Deaths: 1,932,266 (+213) 
Recovered: 49,931,648 (+8,397) 
Active Cases: 40,212,227 (44.61%)
Completed Cases: 51,863,914 (57.53%)
Mortality Rate: 2.14% (No Change)
Case Fatality Rate: 3.73% (No Change)

#COVID19 #Coronavirus #StayHome"|2021-01-10 22:47:03
Both sides of the border now. #StayHome #StaySafe https://t.co/BKsJHb4n87|2021-01-10 22:46:19
About 43,000 people in #Ireland are currently confirmed actively infectious. That is just under 1%, meaning a class of 30 people has a 23% chance of at least one infectious person. There is a 50% chance of at least one infectious person in a group of 80 people. #StayHome|2021-01-10 22:46:05
"@IrlagainstFash Alan out here on these streets learning.... this aint no Game!!

When the @gardainfo be quoting rap lyrics at u just #StayHome"|2021-01-10 22:45:42
Last week @GilbySusan asked for everyone’s support because 40% of the beds were occupied by patients with Covid-19. 7 days on it’s risen to 61%. Please #StayHome #StaySafe #SocialDistance, practice regular and good #HandHygiene #SupportTheNHS https://t.co/PUlWzlhRw2|2021-01-10 22:45:40
"The incredibly stark and serious situation we are now in. 
#Covid19Ireland #StayHome https://t.co/AAbR7ebwqJ"|2021-01-10 22:45:31
Soo i guess I'll rewatch Baki on netflix lol #stayhome|2021-01-10 22:45:26
If you’re needing to stay home as you’re ‘clinically vulnerable’ please let us help you! Phone the brilliant BCP Council helpline and one of our wonderful volunteers will help with bringing food and essentials to you. Stopping for a doorstep chat if it’s not too cold! #StayHome https://t.co/ibS5xdyo8S|2021-01-10 22:45:13
There should not be any marches on DC this month. Due to Covid and the attempted insurrection, the city should go on lockdown.  Put a little love in your hearts. #StayHome #COVID19 #WashingtonDC|2021-01-10 22:43:36
Nobody is #StayHome  😂😂 more people are out then ever. Nobody cares about Covid Schmovid|2021-01-10 22:43:34
"Well this is the scariest things have gotten here since the start of the pandemic. Thinking of all the staff heading into God knows what kind of situation tonight, and in the coming weeks.
#WearAMask 
#SocialDistance 
#StayHome wherever possible. https://t.co/r8Lb8IDVGy"|2021-01-10 22:43:32
